rule_id;theme;subtheme;service_context;clause_pattern;decision_class;risk_level;playbook_id;standard_position;preferred_counterproposal;bidder_questions;security_rationale;evidence_markers;safe_markers;scope_notes;owner;status;review_needed;last_reviewed;notes
AUD-001;audit_rights;audit_frequency;generic_it_outsourcing;Vertraglich vereinbarte Audits werden hoechstens einmal pro Kalenderjahr durchgefuehrt.;acceptable;low;PB-AUDIT-001;Der Auftraggeber ist berechtigt, hoechstens einmal pro Kalenderjahr ein Audit beim Auftragnehmer durchzufuehren. Zusaetzliche Audits nur bei begruendetem Anlass.;"Hoechstens ein Audit pro Kalenderjahr; zusaetzliche Audits nur bei begruendetem Anlass.";Ist eine Frequenzbegrenzung vereinbart? Welche Anlaesse rechtfertigen ein ausserordentliches Audit?;Unbegrenzte oder eng getaktete Audits binden Ressourcen und stoeren Produktivbetrieb.;"jederzeit; mehrfach jaehrlich; ohne haeufigkeitsbegrenzung; unangekuendigt";"einmal pro kalenderjahr; einmal jaehrlich; bei begruendetem anlass";Bestandteil der Auditgrundsaetze-Zusatzvereinbarung (Vorstandsbeschluss).;InfoSec;approved;no;2026-04-23;Formulierung 'Kalenderjahr' entspricht den vertraglich verankerten Auditgrundsaetzen.
AUD-002;audit_rights;audit_notice_period;generic_it_outsourcing;Audits sind mindestens 30 Kalendertage vor Auditbeginn schriftlich anzukuendigen.;acceptable;low;PB-AUDIT-001;Audits sind mit einer Vorlaufzeit von mindestens 30 Kalendertagen schriftlich anzukuendigen.;"Vorlaufzeit mindestens 30 Kalendertage; Durchfuehrung waehrend Geschaeftszeiten.";Ist eine Vorlaufzeit vereinbart? Wie werden Termine abgestimmt?;Ausreichende Vorlaufzeit ist erforderlich, um Fachpersonal zu buchen, Zugriffsrechte zu koordinieren und Mandantenschutz sicherzustellen.;"unangekuendigt; ohne vorankuendigung; jederzeit; ad-hoc";"30 kalendertage vorlauf; schriftlich angekuendigt; waehrend geschaeftszeiten";Bestandteil der Auditgrundsaetze-Zusatzvereinbarung.;InfoSec;approved;no;2026-04-23;
AUD-003;audit_rights;audit_questionnaire_preparation;generic_it_outsourcing;Konkrete Pruefungsfragen, Kontrollbereiche und Nachweisanforderungen sind mindestens 15 Kalendertage vor Auditbeginn bereitzustellen.;acceptable;low;PB-AUDIT-001;Der Auftraggeber stellt mindestens 15 Kalendertage vor Auditbeginn die konkreten Prueffragen, adressierten Kontrollbereiche, anzufordernden Nachweise sowie die betroffenen Systeme/Standorte zur Verfuegung.;Prueffragen, Kontrollbereiche, Nachweisanforderungen und betroffene Systeme/Standorte sind 15 Kalendertage vorab bereitzustellen.;Wird der Pruefumfang rechtzeitig detailliert angekuendigt? Welche Kontrollbereiche sind adressiert?;Ohne konkreten Pruefumfang ist weder Fachpersonal noch Nachweisaufbereitung planbar.;"prueffragen ad-hoc; ohne katalog; vor ort spontan";"15 kalendertage vorab; prueffragen; kontrollbereiche; nachweisanforderungen";Zeittracking umfasst Vorbereitung, Begleitung und Nachbereitung.;InfoSec;approved;no;2026-04-23;
AUD-004;audit_rights;audit_cost_model;generic_it_outsourcing;"Bis zu 3 Personentage je Audit sind inklusive; darueber hinaus Verguetung nach vereinbarten Saetzen.";acceptable;low;PB-AUDIT-003;Fuer Vorbereitung, Durchfuehrung und Nachbereitung sind bis zu 3 Personentage des Auftragnehmers inklusive. Darueber hinausgehende Aufwaende werden nach vereinbarten Stunden-/Tagessaetzen abgerechnet.;"3 PT inklusive (Vor-/Nachbereitung eingeschlossen); darueber hinaus Aufwandsabrechnung.";Welche Aufwaende sind inklusive? Wie werden Zusatzaufwaende abgerechnet?;Unbegrenzte kostenfreie Auditunterstuetzung schafft offenes Kostenrisiko.;"kostenfrei ohne begrenzung; uneingeschraenkt; ohne gesonderte verguetung";"drei personentage inklusive; darueber nach aufwand; tagessaetze; stundensaetze";Zeittracking ueber alle Audit-Phasen.;InfoSec;approved;no;2026-04-23;
AUD-005;audit_rights;audit_effort_cap_customer;generic_it_outsourcing;Kunden-/Auftraggeberaudits sind zulaessig, soweit der vorab bewertete Gesamtaufwand je Audit 50 Personentage nicht ueberschreitet.;acceptable;medium;;"Der Auftragnehmer prueft vor Durchfuehrung anhand der angekuendigten Prueffragen, Kontrollbereiche und Nachweisanforderungen den Gesamtaufwand. Audits bis zu 50 PT je Audit werden akzeptiert. Bis zu 3 PT inklusive; darueber nach vereinbarten Saetzen. Ueberschreitet der erwartete Gesamtaufwand 50 PT, ist eine gesonderte Vereinbarung erforderlich.";"Vorab-Aufwandsbewertung; max. 50 PT je Audit; bis zu 3 PT inklusive, darueber nach Aufwand.";Welche Kontrollbereiche sind umfasst? Ist der erwartete Aufwand auf max. 50 PT begrenzt?;Unbegrenzter Pruefungsaufwand erzeugt erhebliche operative Belastung und Risiko ungeplanter Ressourcenbindung.;"50 personentage; kontrollfragen; domaenen; nachweisanforderungen; gesamtaufwand";"maximal 50 personentage; bis zu 3 personentage inklusive; gesonderte schriftliche vereinbarung";Gilt fuer vertragliche Kunden-/Auftraggeberaudits, NICHT fuer behoerdlich angeordnete Sonderpruefungen (siehe AUD-006).;InfoSec;approved;no;2026-04-23;"50-PT-Deckel vom Vorstand beschlossen; Teil der Auditgrundsaetze-Zusatzvereinbarung."
AUD-006;audit_rights;regulatory_audit_carveout;generic_it_outsourcing;"Behoerdlich oder regulatorisch angeordnete Audits sind umfangsseitig nicht durch das allgemeine Aufwandscap begrenzt; Kostenmodell bleibt anwendbar.";negotiable;medium;;Behoerdlich/regulatorisch angeordnete Audits (BaFin, DORA-Oversight, NIS2-Aufsicht) sind vom Aufwandscap fuer Vertragsaudits ausgenommen. Das Kostenmodell (3 PT inklusive, darueber nach Aufwand) bleibt anwendbar, soweit rechtlich zulaessig.;"Behoerdliche Pruefungen umfangsseitig ohne PT-Deckel; Kostenmodell bleibt gueltig.";Welche regulatorischen Audits fallen unter diese Ausnahme? Ist das Kostenmodell vereinbar?;Behoerdliche Pruefrechte sind regulatorisch vorgegeben. Saubere Trennung zu Vertragsaudits verhindert Widerspruch zu DORA/NIS2/BaFin.;"aufsichtsbehoerde; bafin; dora oversight; nis2 aufsicht; behoerdlich angeordnet";"regulatorisch angeordnet; kostenmodell bleibt anwendbar; soweit rechtlich zulaessig";Separate Zeile zu AUD-005 erforderlich.;Legal;approved;no;2026-04-23;
AUD-007;audit_rights;pooled_multi_customer_audit;generic_it_outsourcing;Sammel-, Verbund- oder Multi-Customer-Audits sind nur nach vorheriger schriftlicher Freigabe zulaessig.;high_risk;high;;Sammelaudits nur nach vorheriger schriftlicher Freigabe des Auftragnehmers. Mandantenschutz, Vertraulichkeit und Scope sind vorab verbindlich zu regeln.;"Sammelaudits nur mit schriftlicher Freigabe; verbindliche Regelung von Mandantenschutz, Vertraulichkeit und Scope.";Ist ein Sammelaudit geplant? Welche weiteren Parteien sind beteiligt? Wie wird Mandantenschutz gewaehrleistet?;"Unkoordinierte Sammelaudits gefaehrden Mandantentrennung; binden unverhaeltnismaessig Ressourcen.";"sammelaudit; pooled audit; verbundaudit; mehrere auftraggeber gemeinsam";"schriftliche freigabe; mandantenschutz; koordinierter dritter mit mandat";;InfoSec;approved;no;2026-04-23;
AUD-008;audit_rights;direct_third_party_audit;generic_it_outsourcing;Direktes Auditrecht von Endkunden oder beauftragten Dritten OHNE Zustimmung, Koordination, Mandat oder Mandantenschutz.;high_risk;high;PB-AUDIT-002;Direkte Drittaudits ohne schriftliche Zustimmung, ohne Koordination mit dem Auftragnehmer, ohne schriftliches Mandat des Auftraggebers oder ohne Mandantenschutz sind ausgeschlossen.;Drittaudits ausschliesslich gemaess AUD-011 (kontrollierter Drittaudit mit Mandat, Vertraulichkeit, Koordination, Mandantenschutz).;Liegt schriftliche Zustimmung/Mandat vor? Ist die Durchfuehrung mit dem Auftragnehmer koordiniert? Ist Mandantenschutz geregelt?;Unkontrollierter Drittzugriff gefaehrdet Mandantentrennung, Vertraulichkeit und operative Stabilitaet.;"endkunden pruefen direkt; dritte ohne zustimmung; unkoordinierte pruefung; ohne mandat; direktes auditrecht";"nur gemaess aud-011; kontrollierter drittaudit";Trennung kontrollierter vs. unkontrollierter Drittaudit - dies ist die RISIKO-Zeile.;InfoSec;approved;no;2026-04-23;Split von v1.2: kontrollierter Fall ist AUD-011 (acceptable).
AUD-009;audit_rights;pentest_rights;generic_it_outsourcing;Aktive technische Pruefungen nur nach Anfrage an InfoSec, Fragebogen und ausdruecklicher Freigabe.;high_risk;high;;Aktive technische Pruefungen beduerfen vorheriger Anfrage an InfoSec, strukturierter fachlicher Bewertung anhand eines Fragebogens und ausdruecklicher Freigabe. Invasive Tests / Tests gegen Shared-Infrastruktur werden regelmaessig abgelehnt.;Pentests/Schwachstellenscans nur nach InfoSec-Anfrage, vollstaendiger Fragebogenbeantwortung und schriftlicher Freigabe. Umfang, Methode, Zeitfenster, Systeme, Abbruchkriterien verbindlich. Shared-Infrastruktur/invasive Tests grundsaetzlich ausgeschlossen.;Welche Systeme/Umgebungen? Shared-Infrastruktur betroffen? Invasiv oder nicht? Methode, Zeitfenster, Abbruchkriterien?;Aktive technische Pruefungen koennen Verfuegbarkeit, Integritaet, Mandantentrennung und Stabilitaet beeintraechtigen.;"penetrationstest; pentest; schwachstellenscan; red team; aktive technische pruefung; shared infrastruktur; invasive tests";"vorherige freigabe; anfrage an infosec; fragebogen; schriftliche genehmigung; zeitfenster; abbruchkriterien";Eigener Pruefmodus, nicht mit Vertragsaudits vermischen.;InfoSec;approved;no;2026-04-23;Kein eigener Playbook-Eintrag vorhanden - Luecke fuer spaetere Pipeline-Ableitung.
AUD-010;audit_rights;audit_scope_limitation;generic_it_outsourcing;Auditumfang ist auf Vertragsgegenstand und unmittelbar verbundene Prozesse/Systeme/Nachweise begrenzt.;acceptable;low;;Der Auditumfang ist auf den Vertragsgegenstand sowie die damit in unmittelbarem Zusammenhang stehenden Prozesse, Systeme, Daten und Dokumentationen beschraenkt. Darueber hinausgehende Pruefungen sind ausgeschlossen, sofern nicht ausdruecklich vereinbart.;"Scope-Begrenzung auf Vertragsgegenstand; keine Pruefung darueber hinaus ohne ausdrueckliche Vereinbarung.";Ist der Auditumfang klar auf den Vertragsgegenstand begrenzt?;Schuetzt Mandantentrennung, Informationen anderer Kunden und interne, nicht vertragsrelevante Prozesse.;"unbegrenzter pruefumfang; pruefung aller systeme; ohne scope";"beschraenkt auf vertragsgegenstand; unmittelbarer zusammenhang; scope-begrenzung";Positive Standardklausel - keine Risiko-Eskalation.;InfoSec;approved;no;2026-04-23;
